Year,ID,Station,Capacity,On-Peak Energy,Off-Peak Energy,CF,Energy,Mbtu,Cold,Warm,Stup Cst,Fuel Cst,VO&M Cst,FO&M Cst,Oper Cst,Tot Cst,Ave Hrt
2017,63,SCH-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,64,SCH-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,65,SCH-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,66,JBPHH16-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,67,JBPHH16-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,68,JBPHH16-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,69,JBPHH16-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,70,JBPHH16-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,71,JBPHH16-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,72,LM6000CT-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,73,LM6000CT-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,74,LM6000CT-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,75,KMCBH9-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,76,KMCBH9-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,77,KMCBH9-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,78,KMCBH9-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,79,KMCBH9-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,80,KMCBH9-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,81,ICE-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,82,ICE-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,83,ICE-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,84,ICE-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,85,ICE-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,86,ICE-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,87,ICE-7,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,88,NE3x1GAS,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,89,NE3x1LIQ,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,90,NE1x1CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,91,76CT-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,92,76CT-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,93,76CT-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,94,76CT-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,95,113CC-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,96,113CC-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,97,113CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,98,113CC-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,99,140CC-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,100,140CC-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,101,140CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,102,140CC-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,103,Waiau 3VPO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,104,Waiau 4VPO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,105,Waiau 5VPO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,106,Waiau 6VPO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,107,Waiau 7VPO,25,111.4237982,81.20298044,87.95743318,192.6267787,2368.168969,,6,0,21.93069697,0.058625244,0,0,21.98932221,12294.0797
2017,108,Waiau 8VPO,25,80.92113827,52.60255721,60.96972397,133.5236955,1602.871546,,6,0,14.94571259,0.04063744,0,0,14.98635003,12004.39772
2017,111,Kahe 1VPO,25,94.6543106,63.46152644,72.19901235,158.115837,1841.419848,,6,0,17.15458508,0.048121967,0,0,17.20270705,11646.01777
2017,112,Kahe 2VPO,25,108.1877392,79.12026432,85.52876871,187.3080035,2120.368384,,7,0,19.7585352,0.057006494,0,0,19.81554169,11320.22308
2017,113,Kahe 3VPO,25,111.5315326,81.49392533,88.1394785,193.0254579,2141.624184,,7,0,19.95254007,0.05874658,0,0,20.01128665,11095.03486
2017,114,Kahe 4VPO,25,107.3007294,78.20578143,84.70616932,185.5065108,2179.052652,,6,0,20.23621033,0.056458216,0,0,20.29266855,11746.50228
2017,115,ICE-8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,116,ICE-9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,117,ICE-10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,118,ICE-11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,119,ICE-12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,120,151CC-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,121,151CC-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,122,151CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,123,151CC-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,124,151CC-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,125,LM6000CC-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,126,LM6000CC-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,127,LM6000CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,1,PSH-PSH-10-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,2,LS-Li-Ion-100-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,3,LS-Li-Ion-100-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,4,LS-Li-Ion-100-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,,R-GExpDGPVC,22.248,22.84051714,0,11.71954769,22.84051714,22.84051714,,365,0,0,0,0,0,0,1000
2017,,G-GExpDGPVC,0.776,0.599146543,0,8.813881964,0.599146543,0.599146542,,365,0,0,0,0,0,0,999.9999997
2017,,J-GExpDGPVC,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,,R-GExpDGPVUC,22.248,12.99881204,0.031717161,6.686009227,13.0305292,13.0305292,,365,0,0,0,0,0,0,1000
